"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"10","Delaware","All_Homicide","2020","86","8.699999999999999","2026-05-14T00:00:00.000",
"10","Delaware","All_Homicide","2021","103","10.20000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Homicide","2022","64","6.300000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Homicide","2023","55","5.300000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Homicide","2024","67","6.500000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Homicide","TTM","52","5.000000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"10","Delaware","All_Suicide","2019","111","11.40000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","2020","124","12.50000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","2021","137","13.60000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","2022","130","12.80000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","2023","144","14.00000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","2024","125","12.10000000000000","2026-05-14T00:00:00.000",
"10","Delaware","All_Suicide","TTM","125","12.10000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"10","Delaware","Drug_OD","2019","423","43.40000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","2020","434","43.80000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","2021","503","50.10000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","2022","535","52.50000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","2023","507","49.10000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","2024","324","31.40000000000000","2026-05-14T00:00:00.000",
"10","Delaware","Drug_OD","TTM","323","31.30000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"10","Delaware","FA_Deaths","2019","93","9.600000000000000","2026-05-14T00:00:00.000",
"10","Delaware","FA_Deaths","2020","135","13.60000000000000","2026-05-14T00:00:00.000",
"10","Delaware","FA_Deaths","2021","158","15.70000000000000","2026-05-14T00:00:00.000",
"10","Delaware","FA_Deaths","2022","124","12.20000000000000","2026-05-14T00:00:00.000",
"10","Delaware","FA_Deaths","2023","124","12.00000000000000","2026-05-14T00:00:00.000",
"10","Delaware","FA_Deaths","2024","123","11.90000000000000","2026-05-14T00:00:00.000",
