"geoid","intent","period","count","rate","type","data_as_of","ttm_date_range"
"USA","Drug_OD","2023-01-01T00:00:00.000","8797","30.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-02-01T00:00:00.000","8039","31.3","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-03-01T00:00:00.000","9078","31.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-04-01T00:00:00.000","8848","32.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-05-01T00:00:00.000","9021","31.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-06-01T00:00:00.000","8501","30.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-07-01T00:00:00.000","8965","31.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-08-01T00:00:00.000","8767","30.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-09-01T00:00:00.000","7728","28.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-10-01T00:00:00.000","7672","27","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-11-01T00:00:00.000","7267","26.4","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2023-12-01T00:00:00.000","7451","26.2","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-01-01T00:00:00.000","7513","26.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-02-01T00:00:00.000","6928","26.1","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-03-01T00:00:00.000","6965","24.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-04-01T00:00:00.000","6706","24.4","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-05-01T00:00:00.000","6737","23.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-06-01T00:00:00.000","6570","23.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-07-01T00:00:00.000","6423","22.6","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-08-01T00:00:00.000","5913","20.8","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-09-01T00:00:00.000","5180","18.9","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-10-01T00:00:00.000","5261","18.5","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-11-01T00:00:00.000","5138","18.7","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2024-12-01T00:00:00.000","5497","19.4","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2025-01-01T00:00:00.000","5980","21","month","2026-05-14T00:00:00.000",
"USA","Drug_OD","2025-02-01T00:00:00.000","5442","21.20000000000000","month","2026-05-14T00:00:00.000",
