"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier with a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier with a HEPA filter","Age group","18-44 years","18.5","16.8, 20.3"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier with a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier with a HEPA filter","Age group","45-64 years","18.7","17, 20.6"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier with a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier with a HEPA filter","Age group","65 years and older","18.5","16.6, 20.5"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier and does not know if it uses a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier and don't know if it uses a HEPA filter","Age group","18-44 years","16.5","14.8, 18.4"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier and does not know if it uses a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier and don't know if it uses a HEPA filter","Age group","45-64 years","8.8","7.6, 10.2"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier and does not know if it uses a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier and don't know if it uses a HEPA filter","Age group","65 years and older","6.5","5.4, 7.8"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses portable air cleaner or purifier in home","Among all adults, percentage who use a portable air cleaner or purifier in their home","Age group","18-44 years","43.7","41.4, 46"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses portable air cleaner or purifier in home","Among all adults, percentage who use a portable air cleaner or purifier in their home","Age group","45-64 years","34.3","32.2, 36.5"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses portable air cleaner or purifier in home","Among all adults, percentage who use a portable air cleaner or purifier in their home","Age group","65 years and older","30.9","28.6, 33.2"
"1","Breast cancer screening","Breast cancer screening - breast density: Notified at all about breast density","Percentage who were notified about their breast density after their most recent mammogram, among women aged 30 and older who ever had a mammogram","Age group","30-44 years","57.7","51.2, 64"
