"vaccine","influenza_season","geographic_level","geographic_name","demographic_level","demographic_name","indicator_label","indicator_category_label","month_week","week_ending","nd_weekly_estimate","ci_half_width_90pct","ci_half_width_95pct","n_weighted","n_unweighted","suppression_flag","data_source"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","November Week 5","2025-11-29","14.5805","0.5454","0.6498","N/A","197079","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","November Week 5","2025-11-29","10.2633","1.2888","1.5356","N/A","6673","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","November Week 5","2025-11-29","27.5026","1.9062","2.2713","N/A","6673","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","November Week 5","2025-11-29","47.6535","2.1095","2.5134","N/A","6673","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 1","2025-12-06","15.4676","0.5508","0.6563","N/A","197079","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 1","2025-12-06","15.4676","0.5508","0.6563","N/A","197079","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 1","2025-12-06","10.8217","1.2493","1.4885","N/A","8339","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 1","2025-12-06","24.5337","1.6451","1.9601","N/A","8339","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Probably or definitely will not get a vaccine","December Week 1","2025-12-06","49.177","1.9121","2.2782","N/A","8339","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","Up-to-date","Yes","December Week 2","2025-12-13","15.5913","0.4414","0.5259","N/A","197079","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Received vaccine","December Week 2","2025-12-13","15.5913","0.4414","0.5259","N/A","197079","0","NIS-ACM"
"COVID","N/A","National","National","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2025-12-13","8.9935","1.0096","1.2029","N/A","8298","0","NIS-ACM"
